species,group,scenario,Potential_Shift_km,Realized_Shift_km,Lag_km,Pct_Loss
Amphiprion_latifasciatus,generalist,ssp119_2050,2171.5,1808.7,362.8,16.7
Amphiprion_fuscocaudatus,generalist,ssp119_2050,1548.3,1411.7,136.6,8.8
Amphiprion_percula,specialist,ssp119_2050,857.9,754.1,103.7,12.1
Amphiprion_frenatus,specialist,ssp119_2050,512.4,458,54.4,10.6
Amphiprion_ephippium,specialist,ssp119_2050,656.3,616.6,39.7,6
Amphiprion_melanopus,specialist,ssp119_2050,571.5,567.7,3.8,0.7
Amphiprion_ocellaris,specialist,ssp119_2050,206.6,220.3,-13.7,-6.7
Amphiprion_akindynos,generalist,ssp119_2050,1810.9,1837.2,-26.2,-1.4
Amphiprion_allardi,generalist,ssp119_2050,816.4,875.4,-58.9,-7.2
Amphiprion_polymnus,generalist,ssp119_2050,377.3,438.1,-60.8,-16.1
Amphiprion_rubrocinctus,specialist,ssp119_2050,1558.6,1621.6,-63,-4
Amphiprion_leucokranos,generalist,ssp119_2050,466.8,583.2,-116.5,-25
Amphiprion_tricinctus,generalist,ssp119_2050,120.6,259.8,-139.2,-115.4
Amphiprion_akallopisos,specialist,ssp119_2050,739.8,990.1,-250.3,-33.8
Amphiprion_nigripes,specialist,ssp119_2050,1999.2,2407.2,-408,-20.4
Amphiprion_chrysogaster,generalist,ssp119_2050,463.2,1589.8,-1126.6,-243.2
Amphiprion_latifasciatus,generalist,ssp119_2100,2144.9,1798.5,346.4,16.2
Amphiprion_fuscocaudatus,generalist,ssp119_2100,1605.7,1458.3,147.4,9.2
Amphiprion_percula,specialist,ssp119_2100,862.8,747.5,115.3,13.4
Amphiprion_ephippium,specialist,ssp119_2100,674.3,620.3,54,8
Amphiprion_frenatus,specialist,ssp119_2100,537.2,483.3,53.9,10
Amphiprion_melanopus,specialist,ssp119_2100,577.3,582.1,-4.8,-0.8
Amphiprion_akindynos,generalist,ssp119_2100,1842.5,1852.9,-10.4,-0.6
Amphiprion_ocellaris,specialist,ssp119_2100,196.4,209.4,-13,-6.6
Amphiprion_rubrocinctus,specialist,ssp119_2100,1574.1,1629.9,-55.8,-3.5
Amphiprion_allardi,generalist,ssp119_2100,817.5,887,-69.5,-8.5
Amphiprion_polymnus,generalist,ssp119_2100,385.2,480.9,-95.7,-24.9
Amphiprion_leucokranos,generalist,ssp119_2100,466.8,580.8,-114.1,-24.4
Amphiprion_tricinctus,generalist,ssp119_2100,126.5,245.3,-118.8,-93.9
Amphiprion_akallopisos,specialist,ssp119_2100,742.8,975.7,-232.9,-31.3
Amphiprion_nigripes,specialist,ssp119_2100,2030.4,2431.9,-401.5,-19.8
Amphiprion_chrysogaster,generalist,ssp119_2100,479.2,1600.2,-1121,-233.9
Amphiprion_latifasciatus,generalist,ssp585_2050,2203.7,1830.4,373.3,16.9
Amphiprion_fuscocaudatus,generalist,ssp585_2050,1542.3,1404.9,137.4,8.9
Amphiprion_percula,specialist,ssp585_2050,853.8,743.3,110.5,12.9
Amphiprion_frenatus,specialist,ssp585_2050,535.8,483.8,52,9.7
Amphiprion_ephippium,specialist,ssp585_2050,627.1,587.9,39.2,6.3
Amphiprion_melanopus,specialist,ssp585_2050,571.4,565.4,6,1
Amphiprion_akindynos,generalist,ssp585_2050,1832.2,1841.6,-9.4,-0.5
Amphiprion_ocellaris,specialist,ssp585_2050,191.8,205.9,-14.1,-7.4
Amphiprion_rubrocinctus,specialist,ssp585_2050,1548,1592.4,-44.3,-2.9
Amphiprion_polymnus,generalist,ssp585_2050,382.5,438.8,-56.3,-14.7
Amphiprion_allardi,generalist,ssp585_2050,806.7,874.8,-68.2,-8.4
Amphiprion_leucokranos,generalist,ssp585_2050,466.9,588.2,-121.2,-26
Amphiprion_tricinctus,generalist,ssp585_2050,119.2,258.5,-139.4,-117
Amphiprion_akallopisos,specialist,ssp585_2050,741.4,997.4,-256,-34.5
Amphiprion_nigripes,specialist,ssp585_2050,1989.9,2413.5,-423.6,-21.3
Amphiprion_chrysogaster,generalist,ssp585_2050,454.6,1574.9,-1120.3,-246.4
Amphiprion_latifasciatus,generalist,ssp585_2100,2055.1,1740.8,314.4,15.3
Amphiprion_percula,specialist,ssp585_2100,910.2,749.3,160.9,17.7
Amphiprion_fuscocaudatus,generalist,ssp585_2100,1582.7,1448.1,134.6,8.5
Amphiprion_akindynos,generalist,ssp585_2100,1980.9,1853,127.8,6.5
Amphiprion_rubrocinctus,specialist,ssp585_2100,1457.4,1385.7,71.8,4.9
Amphiprion_ephippium,specialist,ssp585_2100,610.2,541.9,68.3,11.2
Amphiprion_ocellaris,specialist,ssp585_2100,179.9,138.3,41.6,23.1
Amphiprion_frenatus,specialist,ssp585_2100,607.4,591.5,15.9,2.6
Amphiprion_melanopus,specialist,ssp585_2100,599.9,599.2,0.7,0.1
Amphiprion_allardi,generalist,ssp585_2100,889.2,916.9,-27.8,-3.1
Amphiprion_tricinctus,generalist,ssp585_2100,159.7,226.7,-67,-42
Amphiprion_polymnus,generalist,ssp585_2100,419.3,527.6,-108.3,-25.8
Amphiprion_leucokranos,generalist,ssp585_2100,466.2,584.7,-118.5,-25.4
Amphiprion_akallopisos,specialist,ssp585_2100,711.5,944.5,-233.1,-32.8
Amphiprion_nigripes,specialist,ssp585_2100,2000.6,2335.1,-334.5,-16.7
Amphiprion_chrysogaster,generalist,ssp585_2100,488,1590.7,-1102.7,-226
