species,Mean_AUC,SD_AUC,Mean_TSS,SD_TSS
Amphiprion_akallopisos,0.721,0.109,0.446,0.175
Amphiprion_akindynos,0.927,0.042,0.779,0.114
Amphiprion_allardi,0.886,0.101,0.759,0.174
Amphiprion_chrysogaster,0.815,0.024,0.676,0.03
Amphiprion_ephippium,0.908,0.033,0.77,0.085
Amphiprion_frenatus,0.815,0.077,0.554,0.139
Amphiprion_fuscocaudatus,0.803,0.061,0.607,0.138
Amphiprion_latifasciatus,0.765,0.201,0.642,0.242
Amphiprion_leucokranos,0.942,0.029,0.861,0.079
Amphiprion_melanopus,0.829,0.08,0.582,0.157
Amphiprion_nigripes,0.794,0.202,0.558,0.249
Amphiprion_ocellaris,0.776,0.068,0.456,0.11
Amphiprion_percula,0.856,0.077,0.646,0.123
Amphiprion_polymnus,0.821,0.049,0.556,0.098
Amphiprion_rubrocinctus,0.963,0.041,0.897,0.1
Amphiprion_sebae,0.532,0.058,0.255,0.06
Amphiprion_tricinctus,0.977,0.011,0.934,0.033
